Title,Description,Rating,Rating Count,Genre,Duration
Hamilton,"The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",8.3,121855,"Biography, Drama, History",PT2H40M
Dangal,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",8.3,219097,"Action, Biography, Drama",PT2H41M
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",8.2,1640211,"Biography, Comedy, Crime",PT3H
Batman Begins,"After witnessing his parents&apos; death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",8.2,1617201,"Action, Drama",PT2H20M
Per qualche dollaro in più,Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,8.2,282400,"Drama, Western",PT2H12M
Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,8.2,608487,"Biography, Comedy, Drama",PT2H10M
Some Like It Hot,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",8.2,289445,"Comedy, Music, Romance",PT2H1M
The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,8.2,1242867,"Comedy, Drama",PT1H43M
Judgment at Nuremberg,"Fictionalized depiction of the 1947 Judges&apos; Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their acti...",8.3,88391,"Drama, War",PT2H59M
The Kid,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",8.2,138516,"Comedy, Drama, Family",PT1H8M
The Father,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",8.2,204423,"Drama, Mystery",PT1H37M
Shutter Island,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,8.2,1509427,"Drama, Mystery, Thriller",PT2H18M
All About Eve,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,8.2,141989,Drama,PT2H18M
There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",8.2,657076,Drama,PT2H38M
Jurassic Park,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone&apos;s lives, including his grandchildren&apos;s, in danger.",8.2,1096349,"Action, Adventure, Sci-Fi",PT2H7M
Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",8.2,579507,"Crime, Drama",PT2H58M
Top Gun: Maverick,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",8.2,744348,"Action, Drama",PT2H10M
The Sixth Sense,A child psychologist starts treating a young boy with a disturbing secret.,8.2,1079878,"Drama, Mystery, Thriller",PT1H47M
Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",8.2,140135,"Action, Drama, War",PT2H40M
El laberinto del fauno,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she&apos;s a princess, but must prove her royalty by surviving three gruesome tasks.",8.2,715457,"Drama, Fantasy, War",PT1H58M
No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,8.2,1094491,"Crime, Drama, Thriller",PT2H2M
Unforgiven,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.,8.2,445700,"Drama, Western",PT2H10M
The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,8.2,485619,"Horror, Mystery, Sci-Fi",PT1H49M
A Beautiful Mind,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",8.2,1007201,"Biography, Drama, Mystery",PT2H15M
Kill Bill: Vol. 1,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",8.2,1226230,"Action, Crime, Thriller",PT1H51M
The Treasure of the Sierra Madre,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,8.2,135153,"Adventure, Drama, Western",PT2H6M
Yôjinbô,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,8.2,134921,"Action, Drama, Thriller",PT1H50M
The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island&apos;s animals and cares for an orphaned baby goose.",8.3,94199,"Animation, Sci-Fi",PT1H42M
Prisoners,"Keller Dover is facing every parent&apos;s worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead is an RV that had been parked on their s...",8.2,844040,"Crime, Drama, Mystery",PT2H33M
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",8.2,1139522,"Animation, Adventure, Comedy",PT1H40M
The Great Escape,Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.,8.2,264227,"Adventure, Drama, Thriller",PT2H52M
Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",8.2,580307,"Adventure, Comedy, Fantasy",PT1H31M
Hauru no ugoku shiro,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",8.2,468924,"Animation, Adventure, Family",PT1H59M
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",8.2,264983,"Biography, Drama",PT2H4M
Rashômon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai&apos;s ghost and a woodcutter.",8.2,185742,"Crime, Drama, Mystery",PT1H28M
Dial M for Murder,A former tennis star arranges the murder of his adulterous wife.,8.2,194038,"Crime, Thriller",PT1H45M
Gone with the Wind,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,8.2,340853,"Drama, Romance, War",PT3H58M
Chinatown,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",8.1,358783,"Drama, Mystery, Thriller",PT2H10M
El secreto de sus ojos,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,8.2,228199,"Drama, Mystery, Romance",PT2H9M
"Lock, Stock and Two Smoking Barrels","When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",8.1,627122,"Comedy, Crime",PT1H47M
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",8.1,843445,"Animation, Adventure, Comedy",PT1H35M
V for Vendetta,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of &quot;V&quot;, plots to overthrow the tyrannical government - with the help of a young woman.",8.1,1200090,"Action, Drama, Sci-Fi",PT2H12M
"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter&apos;s murder when they fail to catch the culprit.,8.1,569884,"Comedy, Crime, Drama",PT1H55M
Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg&apos;s new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",8.2,199966,"Animation, Adventure, Comedy",PT1H36M
Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",8.1,389040,"Biography, Drama, Sport",PT2H9M
Kimetsu no Yaiba: Tsuzumi Yashiki-hen,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.,8.8,26957,"Animation, Action, Fantasy",PT1H27M
Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",8.1,739673,Drama,PT1H33M
The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",8.1,238210,"Adventure, Drama, War",PT2H41M
Catch Me If You Can,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",8.1,1134286,"Biography, Crime, Drama",PT2H21M
Fargo,Minnesota car salesman Jerry Lundegaard&apos;s inept crime falls apart due to his and his henchmen&apos;s bungling and the persistent police work of the quite pregnant Marge Gunderson.,8.1,741461,"Crime, Drama, Thriller",PT1H38M
Warrior,"The youngest son of an alcoholic former boxer returns home, where he&apos;s trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",8.1,507131,"Action, Drama, Sport",PT2H20M
Spider-Man: No Way Home,"With Spider-Man&apos;s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",8.2,919782,"Action, Adventure, Fantasy",PT2H28M
Gran Torino,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",8.1,828299,Drama,PT1H56M
Harry Potter and the Deathly Hallows - Part 2,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",8.1,975011,"Adventure, Family, Fantasy",PT2H10M
Million Dollar Baby,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",8.1,735065,"Drama, Sport",PT2H12M
Tonari no Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",8.1,395681,"Animation, Comedy, Family",PT1H26M
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",8.1,1141518,"Action, Adventure, Sci-Fi",PT2H
Ben-Hur,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it&apos;s not long before he regains his freedom and comes back for revenge.",8.1,258665,"Adventure, Drama",PT3H32M
Bacheha-ye aseman,"After a boy loses his sister&apos;s pair of shoes, he goes on a series of adventures in order to find them. When he can&apos;t, he tries a new way to &quot;win&quot; a new pair.",8.2,83385,"Drama, Family, Sport",PT1H29M
Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband&apos;s aristocratic position in 18th-century England.,8.1,188639,"Adventure, Drama, War",PT3H5M
12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",8.1,754278,"Biography, Drama, History",PT2H14M
Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,8.1,840671,"Action, Drama, Sci-Fi",PT1H57M
Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",8.1,350365,"Drama, Romance",PT1H41M
The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel&apos;s glorious years under an exceptional concierge.",8.1,908771,"Adventure, Comedy, Crime",PT1H39M
Hacksaw Ridge,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",8.1,618905,"Biography, Drama, History",PT2H19M
Dead Poets Society,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys&apos; boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",8.1,571821,"Comedy, Drama",PT2H8M
Gone Girl,The husband of a missing woman becomes the chief suspect in her disappearance.,8.1,1098034,"Drama, Mystery, Thriller",PT2H29M
Salinui chueok,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",8.1,229212,"Crime, Drama, Mystery",PT2H11M
In the Name of the Father,"An Irish man&apos;s coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",8.1,192262,"Biography, Crime, Drama",PT2H13M
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his &quot;lakshmi&quot; has been taken, leaving them uncertain if it&apos;s a person or object. His quest to recover the elusive &quot;lakshmi&quot; unfolds.",8.5,55797,"Action, Crime, Drama",PT2H21M
The Gold Rush,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",8.1,121240,"Adventure, Comedy, Drama",PT1H35M
"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",8.1,1007431,"Animation, Adventure, Comedy",PT1H32M
Relatos salvajes,Six short stories that explore the extremities of human behavior involving people in distress.,8.1,223099,"Comedy, Drama, Thriller",PT2H2M
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,8.1,859826,"Animation, Adventure, Comedy",PT1H51M
How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",8.1,824188,"Animation, Action, Adventure",PT1H38M
The Deer Hunter,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,8.1,369725,"Drama, War",PT3H3M
Jaws,"When a massive killer shark unleashes chaos on a beach community off Long Island, it&apos;s up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",8.1,680995,"Adventure, Drama, Thriller",PT2H4M
Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend&apos;s father&apos;s pocketwatch.",8.2,59508,"Action, Comedy, Romance",PT45M
The General,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene...",8.1,100543,"Action, Adventure, Comedy",PT1H18M
Mary and Max.,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger&apos;s syndrome.",8.1,192078,"Animation, Comedy, Drama",PT1H32M
On the Waterfront,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate&apos;s victims.",8.1,169024,"Crime, Drama, Thriller",PT1H48M
Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",8.1,68501,"Adventure, Drama, Thriller",PT2H36M
Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,8.1,503793,"Action, Biography, Drama",PT2H32M
Mr. Smith Goes to Washington,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his c...",8.1,123787,"Comedy, Drama",PT2H9M
Smultronstället,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",8.1,117851,"Drama, Romance",PT1H32M
The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",8.1,186581,"Film-Noir, Mystery, Thriller",PT1H44M
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",8.1,870629,"Action, Drama, Sci-Fi",PT2H17M
Rocky,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,8.1,646834,"Drama, Sport",PT2H
Tôkyô monogatari,"An old couple visit their children and grandchildren in the city, but receive little attention.",8.1,71286,Drama,PT2H17M
The Big Lebowski,"Jeff &quot;The Dude&quot; Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",8.1,877452,"Comedy, Crime",PT1H57M
Det sjunde inseglet,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",8.1,203734,"Drama, Fantasy",PT1H36M
Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",8.1,511209,"Biography, Crime, Drama",PT2H9M
Room,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",8.1,461038,"Drama, Thriller",PT1H58M
The Terminator,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,8.1,948027,"Action, Adventure, Sci-Fi",PT1H47M
Hotel Rwanda,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",8.1,378831,"Biography, Drama, History",PT2H1M
Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",8.1,448401,"Drama, War",PT2H
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate &quot;Captain&quot; Jack Sparrow to save Elizabeth Swann, the governor&apos;s daughter and his love, from Jack&apos;s former pirate allies, who are now undead.",8.1,1241773,"Action, Adventure, Fantasy",PT2H23M
La haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,8.1,204959,"Crime, Drama",PT1H38M
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse&apos;s book tour.",8.1,295941,"Drama, Romance",PT1H20M
Jai Bhim,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",8.7,222164,"Crime, Drama",PT2H44M
The Best Years of Our Lives,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",8.1,72568,"Drama, Romance, War",PT2H50M
La passion de Jeanne d&apos;Arc,"In 1431, Jeanne d&apos;Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",8.1,62821,"Biography, Drama, History",PT1H50M
The Exorcist,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",8.1,469015,Horror,PT2H2M
The Wizard of Oz,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others...",8.1,440550,"Adventure, Family, Fantasy",PT1H42M
The Incredibles,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",8.0,835294,"Animation, Action, Adventure",PT1H55M
Rush,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",8.1,525188,"Biography, Drama, Sport",PT2H3M
Network,"A television network cynically exploits a deranged former anchor&apos;s ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",8.1,174809,Drama,PT2H1M
Stand by Me,A writer recounts a childhood journey with his friends to find the body of a missing boy.,8.1,454402,"Adventure, Comedy, Drama",PT1H29M
Hachi: A Dog&apos;s Tale,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker&apos;s loyal companion. As their bond grows deeper, a beautiful relationship un...",8.1,320686,"Biography, Drama, Family",PT1H33M
The Sound of Music,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,8.1,268694,"Biography, Drama, Family",PT2H52M
Un condamné à mort s&apos;est échappé ou Le vent souffle où il veut,A captured French Resistance fighter during World War II engineers a daunting escape from a German prison in France.,8.2,26673,"Drama, Thriller, War",PT1H41M
Babam ve Oglum,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,8.2,95143,"Drama, Family",PT1H52M
Ah-ga-ssi,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her ...",8.1,181304,"Drama, Romance, Thriller",PT2H25M
To Be or Not to Be,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier&apos;s efforts to track down a German spy.",8.1,44981,"Comedy, Romance, War",PT1H39M
Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",8.1,669720,"Adventure, Biography, Drama",PT2H28M
The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,8.1,237214,"Animation, Action, Adventure",PT1H26M
La battaglia di Algeri,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",8.1,67954,"Drama, War",PT2H1M
The Grapes of Wrath,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",8.1,102192,Drama,PT2H9M
Groundhog Day,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",8.0,701700,"Comedy, Drama, Fantasy",PT1H41M
Amores perros,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",8.0,257266,"Drama, Thriller",PT2H34M
Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat&apos;s wife and avoiding being intimidated by his first wife&apos;s spectral presence.,8.1,150125,"Drama, Mystery, Romance",PT2H10M
The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids&apos; point of view on the white families for which they work, and the hardships they go through on a daily b...",8.1,504111,Drama,PT2H26M
Koe no katachi,"A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shoya finds Shoko to mak...",8.1,110506,"Animation, Drama",PT2H10M
Cool Hand Luke,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",8.0,192255,"Crime, Drama",PT2H7M
